date,ticker,close,open,high,low,volume,sentiment_avg,sentiment_sum,polarity_ratio,news_volume,return_t,ma_7,volatility_7,target_next_return
2020-07-15,MSFT,200.086,201.53,203.258,197.193,33458556.395292,-0.044963848,-6.6546493,0.16819067,148.0,-0.0014971105765870796,202.31814285714287,0.016546858342607308,-0.019881450976080295
2020-07-16,MSFT,196.108,197.535,197.827,194.577,31130807.752487,-0.07049868,-10.4338045,0.13593967,148.0,-0.019881450976080295,201.72085714285714,0.017631684598026942,-0.00497684949109678
2020-07-17,MSFT,195.132,196.647,197.203,193.696,32892799.655188,-0.10600813,-18.65743,0.16048875,176.0,-0.00497684949109678,200.3537142857143,0.013814463340092049,0.043006785150564664
2020-07-20,MSFT,203.524,197.163,204.184,195.259,38351026.608748,-0.048284914,-2.3659608,0.36309394,49.0,0.043006785150564664,199.98399999999998,0.023263806220356877,-0.013590534777225272
2020-07-21,MSFT,200.758,205.486,205.749,200.076,39620500.596171,-0.022024997,-3.2596996,0.43538544,148.0,-0.013590534777225272,199.30857142857144,0.023712085470038197,0.014500044830094039
2020-07-22,MSFT,203.669,201.199,204.184,200.426,51577543.725526,-0.03881376,-6.792408,0.28722772,175.0,0.014500044830094039,199.95185714285714,0.020913284059616382,-0.04354123602511928
2020-07-23,MSFT,194.801,199.282,202.858,194.427,70138484.644762,-0.04165493,-11.538416,0.44371793,277.0,-0.04354123602511928,199.154,0.027283186754504907,-0.006134465428822233
2020-07-24,MSFT,193.606,192.76,195.113,189.967,41410131.491183,-0.053863406,-10.503365,0.38133588,195.0,-0.006134465428822233,198.2282857142857,0.027276757391222938,0.012571924423829817
2020-07-27,MSFT,196.04,193.775,196.158,193.188,31359775.446933,-0.06371465,-1.9751542,0.20426866,31.0,0.012571924423829817,198.21857142857144,0.026957835401089304,-0.008860436645582559
2020-07-28,MSFT,194.303,195.815,196.871,194.028,24175641.058149,0.031660784,3.2294,0.60021025,102.0,-0.008860436645582559,198.10014285714286,0.027123083305469645,0.010004992202899743
2020-07-29,MSFT,196.247,194.761,196.823,194.293,20413008.334734,0.0062283264,0.7598558,0.54492027,122.0,0.010004992202899743,197.06057142857142,0.020369862785153067,-0.0008051078487825158
2020-07-30,MSFT,196.089,193.325,196.637,191.929,26076522.071046,-0.012908257,-1.6393486,0.4089767,127.0,-0.0008051078487825158,196.39357142857145,0.02004252494770466,0.0055281020353004084
